accuracy,perf,NUM_ITERATIONS,LOOP_SKIP,SKIP_SYNC,QUANTIZATION,worker_threads
0.742406015037594,0.00114,11,2,1,1,2
0.7242606516290726,0.001173,11,2,1,1,1
0.9776691729323308,0.001623,11,1,1,1,2
0.759235588972431,0.000969,11,2,1,0,2
0.7271428571428571,0.003597,37,2,1,1,2
0.7076190476190476,0.108264,2522,5,1,1,1
0.6948872180451128,0.000798,30,3,1,0,1
0.9918546365914787,0.155602,760,1,1,1,1
0.6987593984962406,0.001624,58,3,0,0,1
0.7151127819548873,0.0047,132,2,1,0,1
0.6890350877192982,0.000604,30,4,1,0,1
0.7176691729323308,0.081277,3439,3,1,0,1
0.689486215538847,0.001875,30,4,0,1,1
0.689486215538847,0.001818,30,4,1,1,1
0.9894235588972431,0.001853,30,1,1,0,1
0.6766165413533834,0.084328,10000,8,1,0,1
0.6822932330827067,0.009194,771,6,1,0,1
0.9894235588972431,0.001861,30,1,1,0,1
0.711015037593985,0.064689,3664,4,1,0,1
0.6962155388471178,0.01256,748,4,1,0,1
0.741390977443609,0.175298,1319,2,0,1,2
0.7176065162907268,0.000159,7,3,1,0,1
0.7174812030075188,0.007555,99,3,1,1,2
0.6870175438596491,0.000147,15,8,0,0,1
0.9918546365914787,0.396209,1935,1,1,1,1
0.9918546365914787,0.012219,80,1,0,1,2
0.7278446115288221,0.021125,206,2,1,1,2
0.6888345864661654,0.039979,768,4,0,1,1
0.6766666666666667,0.034699,900,8,1,1,2
0.9894611528822055,0.115427,2113,1,1,0,2
0.6838471177944863,0.001219,48,7,1,1,1
0.9918546365914787,0.012396,60,1,1,1,1
0.6892857142857143,0.01546,861,4,1,0,1
0.6894611528822054,7.9e-05,15,10,0,0,1
0.7017293233082706,0.000299,15,4,0,0,1
0.7026817042606517,0.000383,15,3,0,0,1
0.6982330827067669,0.008502,1294,10,0,0,1
0.6894611528822054,7.6e-05,15,10,1,0,1
0.7139348370927319,0.001064,15,10,0,0,2
0.7374185463659149,0.000492,15,2,1,0,1
0.7026817042606517,0.000356,15,3,1,0,1
0.7043984962406016,0.000297,51,10,1,0,1
0.6894611528822054,7.3e-05,15,10,0,0,1
0.6878571428571428,0.001051,15,10,0,0,2
0.6816666666666666,0.001489,235,10,0,0,1
0.9894611528822055,0.004219,70,1,0,0,1
0.7374185463659149,0.000477,15,2,0,0,1
0.7109022556390978,0.0002,15,6,0,0,1
0.6894611528822054,7.1e-05,15,10,1,0,1
0.6752756892230576,0.000788,15,10,0,0,2
0.7048245614035088,0.000426,15,10,1,0,2
0.6906015037593984,0.000187,15,10,1,1,1
0.6906015037593984,0.000185,15,10,1,1,1
0.6894611528822054,7.5e-05,15,10,0,0,1
0.6728696741854636,0.000506,15,10,1,1,2
0.6906015037593984,0.000191,15,10,1,1,1
0.6991604010025063,0.000917,15,10,1,1,2
0.6559022556390978,0.003563,526,10,1,0,1
0.6906015037593984,0.000195,15,10,1,1,1
0.7017293233082706,0.000316,15,4,1,0,1
0.6821303258145364,0.001972,290,10,1,0,1
0.9894611528822055,0.017735,214,1,0,0,2
0.9827819548872181,0.000962,10,1,0,0,2
0.6644736842105263,0.000284,9,7,1,1,1
0.6906015037593984,0.000196,15,10,1,1,1
0.9828571428571429,0.000929,15,1,1,0,1
0.9828571428571429,0.000964,15,1,1,0,1
0.6787844611528822,0.000119,18,10,0,0,1
0.6966917293233083,0.000421,47,10,1,0,1
0.6772681704260652,0.000454,15,9,1,1,1
0.6894611528822054,8.6e-05,15,10,0,0,1
0.7000250626566416,0.006414,248,3,1,0,1
0.9828571428571429,0.000927,15,1,1,0,1
0.7374185463659149,0.000499,15,2,1,0,1
0.6756892230576441,0.00037,15,10,1,0,2
0.6843609022556392,0.021333,3388,10,1,0,1
0.6895989974937343,0.001009,53,10,1,0,2
0.6973809523809524,0.005099,783,10,1,0,1
0.6730451127819549,0.062722,2158,10,1,1,2
0.7428070175438597,0.004182,124,2,1,0,1
0.6906015037593984,0.00019,15,10,0,1,1
0.9828571428571429,0.000878,15,1,1,0,1
0.7303634085213033,0.000246,8,2,1,0,1
0.6906015037593984,0.000184,15,10,1,1,1
0.6750751879699248,0.015609,2471,10,1,0,1
0.7364035087719298,0.02001,593,2,1,0,1
0.7268796992481203,0.00201,57,2,1,0,1
0.9828571428571429,0.000889,15,1,1,0,1
0.6810401002506266,0.050192,2720,10,1,0,2
0.7043358395989975,0.007015,1047,10,1,0,1
0.6854385964912281,0.00046,19,8,1,1,1
0.9918546365914787,0.047615,233,1,1,1,1
0.7441604010025062,0.546999,4098,2,0,1,2
0.6921303258145364,0.000127,22,10,1,0,1
0.6697744360902256,3.5e-05,7,10,1,0,1
0.6894611528822054,8.5e-05,15,10,0,0,1
0.6702631578947369,8.8e-05,7,10,1,1,1
0.6730701754385965,4.3e-05,8,10,0,0,1
0.6697744360902256,3.7e-05,7,10,0,0,1
0.6734461152882205,0.000286,31,7,1,0,1
0.6790977443609023,0.00015,7,8,1,1,1
0.6702631578947369,8.8e-05,7,10,1,1,1
0.6789097744360902,6e-05,7,8,1,0,1
0.6805388471177944,0.000265,28,7,1,0,1
0.681704260651629,4.5e-05,9,10,1,0,1
0.6789097744360902,5.6e-05,7,8,1,0,1
0.6667167919799499,7.8e-05,6,10,1,1,1
0.9826942355889724,0.000412,7,1,1,0,1
0.6866666666666666,0.001031,168,10,1,0,1
0.6662781954887218,3e-05,6,10,1,0,1
0.6697744360902256,3.5e-05,7,10,0,0,1
0.6954260651629073,0.000232,32,10,1,0,1
0.9826441102756892,0.000354,6,1,1,0,1
0.6745488721804511,0.010885,1813,10,1,0,1
0.7274812030075188,0.000206,6,2,1,0,1
0.6662781954887218,3.2e-05,6,10,0,0,1
0.692155388471178,0.016679,2638,10,1,0,1
0.7274812030075188,0.000183,6,2,0,0,1
0.6950751879699248,0.000413,69,10,1,0,1
0.718734335839599,0.022043,928,3,1,0,1
0.6662781954887218,3.2e-05,6,10,0,0,1
0.6870551378446115,0.000852,24,7,1,0,2
0.6812907268170426,8.6e-05,6,4,1,0,1
0.6778822055137845,0.00021,6,10,1,0,2
0.6667167919799499,8.1e-05,6,10,1,1,1
0.6662781954887218,3.3e-05,6,10,0,0,1
0.9826441102756892,0.000365,6,1,1,0,1
0.734561403508772,0.001344,35,2,1,0,1
0.6662781954887218,3.3e-05,6,10,0,0,1
0.9826441102756892,0.000365,6,1,1,0,1
0.9918546365914787,0.014983,100,1,0,1,2
0.7298621553884712,0.00067,19,2,1,0,1
0.9826441102756892,0.000376,6,1,1,0,1
0.6667167919799499,8e-05,6,10,1,1,1
0.6842105263157895,0.000317,6,10,1,0,2
0.6929949874686716,6.6e-05,6,9,0,0,1
0.6697744360902256,3.6e-05,7,10,0,0,1
0.9826441102756892,0.000371,6,1,1,0,1
0.6667167919799499,8e-05,6,10,1,1,1
0.696265664160401,0.000688,108,10,1,0,1
0.7274812030075188,0.000186,6,2,1,0,1
0.7161654135338346,0.005069,58,3,0,0,2
0.9894611528822055,0.00267,43,1,1,0,1
0.703295739348371,0.00848,99,3,1,1,1
0.7340726817042607,0.000464,14,2,1,0,1
0.6889598997493734,0.000374,6,6,1,0,2
0.6812907268170426,8.9e-05,6,4,1,0,1
0.6593859649122806,5e-05,6,7,1,0,1
0.7204636591478697,0.000403,12,2,1,0,1
0.6804636591478697,5.2e-05,6,8,1,0,1
