accuracy,perf,compute_sum_in_neighbors_threshold_0,compute_sum_in_neighbors_decision_0,compute_sum_in_neighbors_decision_1,update_node_rank_threshold_0,update_node_rank_decision_0,update_node_rank_decision_1
1.0,0.718719,10,0,0,71,0,0
1.0,0.724574,4,4,1,0,0,1
1.0,0.73543,82,3,0,11,0,0
1.0,0.725734,153,0,4,107,1,0
1.0,0.732915,10,0,0,27,0,0
1.0,0.725603,8,1,0,109,0,0
1.0,0.72516,6,0,0,106,0,0
1.0,0.73531,9,0,0,71,0,0
1.0,0.716042,151,0,3,71,0,0
1.0,0.709656,10,0,0,2,0,0
1.0,0.726704,10,2,2,71,0,0
1.0,0.736182,10,4,2,71,1,0
1.0,0.727385,376,0,0,2,0,0
1.0,0.712662,67,0,0,34,0,0
1.0,0.73276,68,0,1,2,0,0
1.0,0.729528,10,0,0,6,0,1
1.0,0.715103,10,0,1,2,0,0
1.0,0.711195,10,0,0,16,0,0
1.0,0.727267,10,4,2,2,0,1
1.0,0.738427,10,0,0,41,0,1
1.0,0.72993,158,1,1,1,1,0
1.0,0.72799,1,0,4,0,0,1
1.0,0.734381,2,0,0,706,1,1
1.0,0.711145,1004,0,3,3,0,0
1.0,0.725323,10,0,0,90,0,0
1.0,0.729136,10,0,0,145,0,0
1.0,0.732468,33,0,3,2,0,0
1.0,0.722655,10,4,0,2,0,0
1.0,0.725326,9,0,1,4,0,0
1.0,0.72555,0,0,0,19,1,0
1.0,0.709819,16,4,0,746,0,0
1.0,0.726745,0,4,1,0,1,1
1.0,0.72893,10,0,1,2,0,0
1.0,0.723944,17,0,0,1,0,0
1.0,0.725333,4,0,0,0,0,0
1.0,0.723155,10,0,0,0,0,0
1.0,0.729279,10,0,0,2,1,0
1.0,0.741028,10,0,2,2,0,1
1.0,0.72298,10,0,0,2,1,0
1.0,0.728083,10,0,0,2,1,1
1.0,0.741693,712,3,0,380,1,0
1.0,0.735811,35,3,0,0,0,0
1.0,0.725438,864,0,4,3,0,0
1.0,0.725306,71,0,1,521,0,0
1.0,0.736763,0,0,4,0,0,0
1.0,0.751426,10,2,0,2,0,0
1.0,0.742768,564,0,0,2,0,0
1.0,0.726304,240,0,0,2,1,0
1.0,0.728569,33,1,0,8,0,0
1.0,0.739523,5,0,2,2,0,0
1.0,0.717242,4,0,0,2,0,0
1.0,0.725213,276,4,3,398,1,0
1.0,0.711256,70,1,2,1,0,0
1.0,0.723577,44,0,3,1,0,0
1.0,0.732871,7,0,0,2,0,0
1.0,0.713123,16,0,0,2,0,0
1.0,0.726655,10,1,0,4,0,0
1.0,0.709034,10,0,0,7,0,0
1.0,0.722321,10,0,0,2,1,0
1.0,0.712933,10,0,0,2,0,1
1.0,0.716054,10,0,1,7,0,0
1.0,0.730616,2,0,0,7,0,0
1.0,0.713226,10,0,0,7,1,0
1.0,0.714684,10,0,0,7,1,0
1.0,0.731076,10,3,0,7,0,0
1.0,0.728377,0,0,0,7,0,0
1.0,0.729192,10,0,0,160,0,0
1.0,0.756432,10,0,0,7,0,1
1.0,0.725652,0,0,0,7,0,0
1.0,0.7131,0,0,0,7,0,0
1.0,0.721144,10,1,0,7,0,0
1.0,0.726731,10,0,0,49,0,0
1.0,0.76286,119,0,0,0,0,0
1.0,0.730633,10,4,0,7,0,0
1.0,0.731257,10,0,1,273,0,0
1.0,0.722935,35,0,1,7,0,0
1.0,0.727404,6,0,0,7,0,0
1.0,0.727204,10,0,4,7,0,0
1.0,0.714279,10,0,0,32,0,0
1.0,0.709484,10,0,0,5,0,0
1.0,0.729624,105,0,1,142,0,0
1.0,0.731757,11,4,0,54,0,0
1.0,0.731375,0,0,0,68,0,0
1.0,0.740007,165,1,0,251,1,0
1.0,0.733172,399,0,2,2,0,0
1.0,0.726296,10,0,0,5,0,0
1.0,0.709507,13,0,0,7,0,0
1.0,0.731511,9,0,0,7,0,0
1.0,0.730155,10,0,1,7,0,0
1.0,0.729983,3,0,0,7,0,0
1.0,0.724812,10,0,0,3,0,0
1.0,0.728087,552,0,0,77,0,0
1.0,0.739972,54,0,1,52,0,0
1.0,0.749241,189,1,1,1,0,0
1.0,0.725716,846,1,1,38,0,0
1.0,0.722493,15,0,0,7,0,0
1.0,0.763136,32,3,4,1,0,0
1.0,0.728291,22,2,0,13,0,0
1.0,0.727742,5,0,0,8,0,1
1.0,0.711805,8,0,4,1,0,0
1.0,0.72636,10,0,0,11,0,0
1.0,0.729208,0,0,2,125,0,0
1.0,0.728128,10,0,2,7,1,0
1.0,0.728221,10,4,0,7,0,0
1.0,0.743101,211,0,4,53,0,0
1.0,0.727639,4,0,0,15,0,0
1.0,0.745691,19,0,0,14,0,0
1.0,0.723898,29,0,0,7,0,0
1.0,0.727277,203,0,3,17,0,0
1.0,0.725385,10,3,0,7,0,1
1.0,0.733809,10,0,0,681,0,0
1.0,0.746825,10,0,2,7,0,0
1.0,0.715801,1024,0,4,0,0,0
1.0,0.73916,24,1,0,237,0,1
1.0,0.730331,289,0,2,382,0,1
1.0,0.742823,10,0,0,2,0,0
1.0,0.750341,451,0,3,2,0,0
1.0,0.760514,10,0,0,12,0,0
1.0,0.716395,10,0,0,8,0,0
1.0,0.735081,10,1,0,7,0,0
1.0,0.722799,266,0,2,2,0,0
1.0,0.729878,212,0,3,2,0,0
1.0,0.70836,922,0,2,11,0,0
1.0,0.731923,452,0,3,7,0,0
1.0,0.728138,633,0,2,2,0,0
1.0,0.725585,234,0,2,14,0,0
1.0,0.734124,922,0,2,11,1,0
1.0,0.726856,922,0,2,8,0,0
1.0,0.732018,434,0,1,2,0,0
1.0,0.726149,78,0,0,164,0,0
1.0,0.748976,79,2,0,261,0,1
1.0,0.715519,210,1,2,1,1,0
1.0,0.743044,449,0,2,6,0,0
1.0,0.726913,922,0,0,11,0,0
1.0,0.742282,82,0,2,11,0,0
1.0,0.725555,0,0,2,11,0,1
1.0,0.723569,962,0,2,6,0,0
1.0,0.712801,495,0,2,5,0,0
1.0,0.712676,465,0,2,12,0,0
1.0,0.722807,764,0,2,5,0,0
1.0,0.722983,442,0,2,5,0,0
1.0,0.727103,646,0,2,9,0,0
1.0,0.730035,850,0,2,6,0,0
1.0,0.741374,1021,0,2,4,0,0
1.0,0.709412,631,0,2,4,0,0
1.0,0.72407,525,1,3,52,1,0
1.0,0.726524,84,1,0,5,0,0
1.0,0.71175,156,0,1,3,0,0
1.0,0.739842,282,0,2,6,0,0
1.0,0.74228,922,4,2,11,0,0
1.0,0.709147,922,0,2,8,0,0
1.0,0.73637,4,1,2,11,0,0
1.0,0.726883,784,0,2,6,0,0
1.0,0.725608,922,0,2,13,0,0
1.0,0.734594,922,0,2,8,0,0
1.0,0.731461,922,1,3,11,0,0
1.0,0.725678,763,0,2,7,0,0
